epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,150.208,0.38262,0.31674,1.25295,0.99467,1,0.995,0.95938,0.31781,0.26334,1.26944,0.000412749,0.000412749,0.000412749
78,151.736,0.44304,0.37208,1.43993,0.99477,1,0.995,0.96568,0.31477,0.25734,1.26456,0.000396246,0.000396246,0.000396246
79,153.382,0.42764,0.36601,1.43815,0.99497,1,0.995,0.96465,0.30645,0.25258,1.26382,0.000379743,0.000379743,0.000379743
80,154.995,0.44174,0.3673,1.42382,0.9951,1,0.995,0.95644,0.3121,0.24368,1.26231,0.000363239,0.000363239,0.000363239
81,156.877,0.388,0.32595,1.31798,0.99534,1,0.995,0.94498,0.32278,0.2452,1.26231,0.000346736,0.000346736,0.000346736
82,158.714,0.41159,0.34905,1.35919,0.99539,1,0.995,0.9476,0.31811,0.24324,1.26453,0.000330233,0.000330233,0.000330233
83,160.305,0.36756,0.32964,1.27943,0.99548,1,0.995,0.95292,0.31613,0.24658,1.26213,0.000313729,0.000313729,0.000313729
84,161.934,0.40552,0.34548,1.27129,0.99557,1,0.995,0.96653,0.3053,0.24366,1.2646,0.000297226,0.000297226,0.000297226
85,163.578,0.37993,0.31814,1.28668,0.99557,1,0.995,0.95867,0.29863,0.23629,1.27276,0.000280723,0.000280723,0.000280723
86,165.534,0.38654,0.32424,1.30509,0.99542,1,0.995,0.96098,0.29956,0.23187,1.28107,0.00026422,0.00026422,0.00026422
87,167.894,0.41618,0.34338,1.3218,0.99547,1,0.995,0.96439,0.29006,0.21535,1.29301,0.000247716,0.000247716,0.000247716
88,169.877,0.40037,0.3251,1.38848,0.99545,1,0.995,0.96405,0.2826,0.21396,1.30132,0.000231213,0.000231213,0.000231213
89,172.121,0.36177,0.3163,1.31728,0.99531,1,0.995,0.96779,0.29142,0.21637,1.30711,0.00021471,0.00021471,0.00021471
90,173.86,0.37394,0.36341,1.41874,0.9953,1,0.995,0.96822,0.29715,0.21655,1.30516,0.000198206,0.000198206,0.000198206
91,190.597,0.31404,0.27827,1.27147,0.99533,1,0.995,0.96489,0.29437,0.21771,1.30674,0.000181703,0.000181703,0.000181703
92,192.129,0.32263,0.28476,1.28421,0.99533,1,0.995,0.96784,0.28754,0.21716,1.30231,0.0001652,0.0001652,0.0001652
93,193.849,0.32045,0.29307,1.27771,0.99537,1,0.995,0.96413,0.28693,0.21373,1.29346,0.000148696,0.000148696,0.000148696
94,195.838,0.31193,0.27829,1.24757,0.99527,1,0.995,0.95748,0.28437,0.22012,1.2794,0.000132193,0.000132193,0.000132193
95,198.002,0.26833,0.24712,1.223,0.99533,1,0.995,0.9674,0.2866,0.2268,1.26891,0.00011569,0.00011569,0.00011569
96,200.099,0.31887,0.28301,1.32814,0.99525,1,0.995,0.96653,0.28773,0.2312,1.26345,9.91865e-05,9.91865e-05,9.91865e-05
97,202.05,0.28603,0.26769,1.2383,0.99518,1,0.995,0.96647,0.28957,0.23343,1.2584,8.26832e-05,8.26832e-05,8.26832e-05
98,203.834,0.29826,0.26718,1.29034,0.99524,1,0.995,0.96635,0.28769,0.23345,1.25508,6.61799e-05,6.61799e-05,6.61799e-05
99,205.491,0.29453,0.26992,1.27272,0.99519,1,0.995,0.96629,0.28661,0.23572,1.24872,4.96766e-05,4.96766e-05,4.96766e-05
100,207.167,0.28306,0.27859,1.26711,0.99538,1,0.995,0.96629,0.28487,0.23453,1.24811,3.31733e-05,3.31733e-05,3.31733e-05
