epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1293.87,0.26112,0.01927,0,0.25874,0.84342,0.99986,1,0.995,0.99498,0.99986,1,0.995,0.99499,0.28239,0.01222,0,0.15982,0.94763,0.0011486,0.0011486,0.0011486
45,1322.43,0.27553,0.01816,0,0.26306,0.84649,0.99986,1,0.995,0.99499,0.99986,1,0.995,0.99499,0.27431,0.01082,0,0.15684,0.95065,0.0011288,0.0011288,0.0011288
46,1350.87,0.25904,0.0221,0,0.25177,0.83994,0.99986,1,0.995,0.99499,0.99986,1,0.995,0.995,0.27935,0.01411,0,0.14842,0.93497,0.001109,0.001109,0.001109
47,1380.82,0.26468,0.02115,0,0.25266,0.84059,0.99986,1,0.995,0.99489,0.99986,1,0.995,0.995,0.26735,0.00997,0,0.14984,0.96001,0.0010892,0.0010892,0.0010892
48,1410.72,0.25669,0.02063,0,0.25138,0.83904,0.99986,1,0.995,0.99485,0.99986,1,0.995,0.99498,0.26763,0.01122,0,0.1512,0.9426,0.0010694,0.0010694,0.0010694
49,1439.71,0.26428,0.01903,0,0.25367,0.8395,0.99986,1,0.995,0.99498,0.99986,1,0.995,0.99499,0.26931,0.0104,0,0.14927,0.95621,0.0010496,0.0010496,0.0010496
50,1468.93,0.25806,0.02025,0,0.2495,0.83976,0.99986,1,0.995,0.99495,0.99986,1,0.995,0.99499,0.26364,0.00958,0,0.14947,0.9523,0.0010298,0.0010298,0.0010298
51,1497.34,0.26331,0.01705,0,0.26111,0.84506,0.99986,1,0.995,0.995,0.99986,1,0.995,0.995,0.269,0.01052,0,0.15864,0.94638,0.00101,0.00101,0.00101
52,1526.99,0.24919,0.01762,0,0.24819,0.83386,0.99986,1,0.995,0.99499,0.99986,1,0.995,0.995,0.25929,0.01029,0,0.14231,0.95292,0.0009902,0.0009902,0.0009902
53,1556.24,0.24841,0.0164,0,0.24599,0.83955,0.99986,1,0.995,0.9949,0.99986,1,0.995,0.995,0.26108,0.00947,0,0.1447,0.95918,0.0009704,0.0009704,0.0009704
54,1584.76,0.24731,0.01604,0,0.2489,0.84125,0.99982,1,0.995,0.76881,0.99982,1,0.995,0.99498,1.17029,0.01816,0,0.49397,1.51255,0.0009506,0.0009506,0.0009506
55,1614.74,0.26029,0.01488,0,0.24915,0.84142,0.99986,1,0.995,0.995,0.99986,1,0.995,0.995,0.25766,0.01018,0,0.14198,0.95855,0.0009308,0.0009308,0.0009308
56,1643.4,0.247,0.0157,0,0.24343,0.84034,0.99986,1,0.995,0.995,0.99986,1,0.995,0.995,0.29656,0.01083,0,0.15381,0.95937,0.000911,0.000911,0.000911
57,1672.33,0.24909,0.01983,0,0.24667,0.83939,0.99986,1,0.995,0.99497,0.99986,1,0.995,0.995,0.26103,0.00922,0,0.14854,0.9676,0.0008912,0.0008912,0.0008912
58,1702.58,0.25074,0.0157,0,0.2499,0.84072,0.99986,1,0.995,0.99499,0.99986,1,0.995,0.99499,0.26229,0.01047,0,0.14514,0.96172,0.0008714,0.0008714,0.0008714
59,1731.89,0.25659,0.01691,0,0.24426,0.84031,0.99986,1,0.995,0.99498,0.99986,1,0.995,0.99499,0.25691,0.01022,0,0.13775,0.94936,0.0008516,0.0008516,0.0008516
60,1760.88,0.25008,0.01539,0,0.24746,0.8391,0.99986,1,0.995,0.99499,0.99986,1,0.995,0.99499,0.26496,0.00974,0,0.14375,0.94992,0.0008318,0.0008318,0.0008318
61,1790.45,0.24446,0.01616,0,0.24628,0.83803,0.99986,1,0.995,0.99496,0.99986,1,0.995,0.99499,0.26587,0.00976,0,0.13765,0.9626,0.000812,0.000812,0.000812
62,1818.82,0.23901,0.01536,0,0.23819,0.83545,0.99986,1,0.995,0.995,0.99986,1,0.995,0.995,0.26416,0.00883,0,0.13952,0.9647,0.0007922,0.0007922,0.0007922
63,1848.93,0.22959,0.01271,0,0.23289,0.83428,0.99986,1,0.995,0.995,0.99986,1,0.995,0.995,0.26281,0.00832,0,0.13655,0.94983,0.0007724,0.0007724,0.0007724
64,1877.21,0.22204,0.01417,0,0.21726,0.83039,0.99986,1,0.995,0.995,0.99986,1,0.995,0.995,0.25386,0.00824,0,0.1363,0.9437,0.0007526,0.0007526,0.0007526
