epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,1761.48,0.05854,0.10158,0,0.08421,0.86761,1,1,0.995,0.995,1,1,0.995,0.995,0.076,0.06108,0,0.08503,0.42923,0.0009506,0.0009506,0.0009506
55,1795.3,0.05987,0.09693,0,0.08688,0.87242,1,1,0.995,0.995,1,1,0.995,0.995,0.14105,0.08705,0,0.13387,0.48555,0.0009308,0.0009308,0.0009308
56,1829.39,0.06136,0.09179,0,0.0878,0.87098,1,1,0.995,0.995,1,1,0.995,0.995,0.07272,0.07507,0,0.07265,0.42782,0.000911,0.000911,0.000911
57,1863.1,0.0576,0.08931,0,0.08096,0.86707,1,1,0.995,0.995,1,1,0.995,0.995,0.04583,0.09101,0,0.14248,0.41959,0.0008912,0.0008912,0.0008912
58,1897.11,0.05506,0.08804,0,0.08011,0.86997,1,1,0.995,0.995,1,1,0.995,0.995,0.07211,0.06214,0,0.08837,0.43146,0.0008714,0.0008714,0.0008714
59,1931.39,0.05304,0.08583,0,0.07609,0.8632,1,1,0.995,0.995,1,1,0.995,0.995,0.06908,0.08042,0,0.07798,0.4228,0.0008516,0.0008516,0.0008516
60,1965.48,0.0525,0.08019,0,0.07679,0.86498,1,1,0.995,0.995,1,1,0.995,0.995,0.07276,0.04746,0,0.12029,0.43885,0.0008318,0.0008318,0.0008318
61,1999.03,0.05207,0.08813,0,0.0752,0.86628,1,1,0.995,0.995,1,1,0.995,0.995,0.076,0.05326,0,0.09928,0.43153,0.000812,0.000812,0.000812
62,2033.07,0.04957,0.07942,0,0.07497,0.86534,1,1,0.995,0.995,1,1,0.995,0.995,0.05908,0.05447,0,0.09576,0.4171,0.0007922,0.0007922,0.0007922
63,2067.57,0.05194,0.09012,0,0.08011,0.86548,0.99985,1,0.995,0.995,0.99985,1,0.995,0.995,0.07003,0.05767,0,0.0885,0.41706,0.0007724,0.0007724,0.0007724
64,2100.7,0.05123,0.08406,0,0.07677,0.86663,1,1,0.995,0.995,1,1,0.995,0.995,0.10316,0.05461,0,0.12636,0.43646,0.0007526,0.0007526,0.0007526
65,2132.78,0.04898,0.07355,0,0.07111,0.86373,0.99987,1,0.995,0.995,0.99987,1,0.995,0.995,0.07123,0.05931,0,0.09688,0.42848,0.0007328,0.0007328,0.0007328
66,2164.97,0.04864,0.07742,0,0.07173,0.86571,1,1,0.995,0.995,1,1,0.995,0.995,0.05557,0.04951,0,0.08497,0.41574,0.000713,0.000713,0.000713
67,2198.07,0.04952,0.07428,0,0.07429,0.86419,0.99987,1,0.995,0.995,0.99987,1,0.995,0.995,0.08265,0.04745,0,0.07279,0.43176,0.0006932,0.0006932,0.0006932
68,2228.46,0.04604,0.07373,0,0.0708,0.86249,0.99987,1,0.995,0.995,0.99987,1,0.995,0.995,0.0714,0.05364,0,0.10004,0.43195,0.0006734,0.0006734,0.0006734
69,2260.1,0.04439,0.07242,0,0.06957,0.86196,1,1,0.995,0.995,1,1,0.995,0.995,0.08217,0.0597,0,0.1162,0.44112,0.0006536,0.0006536,0.0006536
70,2291.73,0.04611,0.06902,0,0.0687,0.86523,1,1,0.995,0.995,1,1,0.995,0.995,0.11053,0.05378,0,0.16731,0.42848,0.0006338,0.0006338,0.0006338
71,2321.51,0.0447,0.06416,0,0.07037,0.864,1,1,0.995,0.995,1,1,0.995,0.995,0.06844,0.04762,0,0.09994,0.42348,0.000614,0.000614,0.000614
72,2352.28,0.04394,0.06606,0,0.06992,0.86347,1,1,0.995,0.995,1,1,0.995,0.995,0.07557,0.061,0,0.08929,0.41968,0.0005942,0.0005942,0.0005942
73,2382.5,0.04354,0.06871,0,0.07075,0.8613,1,1,0.995,0.995,1,1,0.995,0.995,0.06644,0.04635,0,0.10533,0.41994,0.0005744,0.0005744,0.0005744
74,2413.01,0.04084,0.0658,0,0.0639,0.86021,1,1,0.995,0.995,1,1,0.995,0.995,0.05648,0.04528,0,0.07687,0.41055,0.0005546,0.0005546,0.0005546
75,2444.71,0.04264,0.06313,0,0.06557,0.86046,0.99987,1,0.995,0.995,0.99987,1,0.995,0.995,0.06462,0.04461,0,0.08763,0.41266,0.0005348,0.0005348,0.0005348
76,2475.86,0.04399,0.06323,0,0.06617,0.86488,1,1,0.995,0.995,1,1,0.995,0.995,0.07056,0.04405,0,0.07927,0.41811,0.000515,0.000515,0.000515
77,2506.19,0.04378,0.06024,0,0.06688,0.86559,0.99987,1,0.995,0.995,0.99987,1,0.995,0.995,0.05911,0.04422,0,0.08226,0.42074,0.0004952,0.0004952,0.0004952
78,2537.08,0.04038,0.06375,0,0.06379,0.86165,0.99987,1,0.995,0.995,0.99987,1,0.995,0.995,0.05297,0.04608,0,0.0688,0.40978,0.0004754,0.0004754,0.0004754
79,2567.44,0.03876,0.0595,0,0.06406,0.86075,0.99987,1,0.995,0.995,0.99987,1,0.995,0.995,0.05933,0.04261,0,0.0795,0.41067,0.0004556,0.0004556,0.0004556
80,2601.52,0.03919,0.06009,0,0.06286,0.86675,1,1,0.995,0.995,1,1,0.995,0.995,0.07888,0.04012,0,0.08836,0.42667,0.0004358,0.0004358,0.0004358
81,2633.41,0.03879,0.05566,0,0.06218,0.86463,1,1,0.995,0.995,1,1,0.995,0.995,0.05628,0.04251,0,0.07756,0.40676,0.000416,0.000416,0.000416
82,2665.38,0.03806,0.05355,0,0.06333,0.86476,1,1,0.995,0.995,1,1,0.995,0.995,0.05379,0.04479,0,0.06358,0.40461,0.0003962,0.0003962,0.0003962
83,2694.63,0.03497,0.05443,0,0.06027,0.86463,1,1,0.995,0.995,1,1,0.995,0.995,0.04334,0.04732,0,0.05571,0.39831,0.0003764,0.0003764,0.0003764
84,2727.33,0.03426,0.05302,0,0.05618,0.86463,0.99987,1,0.995,0.995,0.99987,1,0.995,0.995,0.04965,0.04602,0,0.06526,0.40383,0.0003566,0.0003566,0.0003566
85,2760.27,0.03323,0.05353,0,0.05874,0.86171,0.99987,1,0.995,0.995,0.99987,1,0.995,0.995,0.06146,0.04833,0,0.11841,0.41483,0.0003368,0.0003368,0.0003368
86,2793.04,0.03262,0.05344,0,0.05838,0.86847,0.99987,1,0.995,0.995,0.99987,1,0.995,0.995,0.04089,0.04683,0,0.06825,0.39818,0.000317,0.000317,0.000317
87,2826.11,0.03283,0.04987,0,0.0558,0.86265,0.99987,1,0.995,0.995,0.99987,1,0.995,0.995,0.04747,0.04241,0,0.06709,0.40318,0.0002972,0.0002972,0.0002972
88,2860.79,0.03099,0.04947,0,0.0545,0.86205,1,1,0.995,0.995,1,1,0.995,0.995,0.05188,0.0505,0,0.07054,0.40933,0.0002774,0.0002774,0.0002774
89,2892.61,0.03124,0.04583,0,0.05317,0.85995,1,1,0.995,0.995,1,1,0.995,0.995,0.06934,0.0423,0,0.07273,0.43023,0.0002576,0.0002576,0.0002576
90,2924,0.02978,0.04693,0,0.05146,0.85994,1,1,0.995,0.995,1,1,0.995,0.995,0.05837,0.03818,0,0.07453,0.42059,0.0002378,0.0002378,0.0002378
